Bookmark,Frame#,Role,Addr.,Hands-Free data,AT Cmd,Indication,Response,Frame Size,Delta,Timestamp,
,209,Slave,1,..OK..,,,Success,20,=" 00:00:00.002335",="6/27/2014 3:26:30.361773 PM",
,211,Master,1,AT+BTRH?.,Query the current "response and hold" state of the AG,,,23,=" 00:00:00.475176",="6/27/2014 3:26:30.836949 PM",
,212,Slave,1,..ERROR..,,,Error,23,=" 00:00:00.017202",="6/27/2014 3:26:30.854151 PM",
,214,Master,1,AT+VGS=15.,Current speaker gain: 15,,,24,=" 00:00:00.138138",="6/27/2014 3:26:30.992289 PM",
,215,Slave,1,..OK..,,,Success,20,=" 00:00:00.009759",="6/27/2014 3:26:31.002048 PM",
,217,Master,1,AT+VGM=15.,Current microphone gain: 15,,,24,=" 00:00:00.063287",="6/27/2014 3:26:31.065335 PM",
,218,Slave,1,..OK..,,,Success,20,=" 00:00:00.011082",="6/27/2014 3:26:31.076417 PM",
,250,Slave,1,..+CIEV: 22..,,Call Setup indicator's status report,,27,=" 00:00:09.590352",="6/27/2014 3:26:40.666769 PM",
,259,Slave,1,..+CIEV: 45..,,Signal indicator's status report,,27,=" 00:00:01.624147",="6/27/2014 3:26:42.290916 PM",
,261,Slave,1,..+CIEV: 23..,,Call Setup indicator's status report,,27,=" 00:00:05.555695",="6/27/2014 3:26:47.846611 PM",
,266,Slave,1,..+CIEV: 11..,,Call Status indicator's status report,,27,=" 00:00:12.245090",="6/27/2014 3:27:00.091701 PM",
,267,Slave,1,..+CIEV: 20..,,Call Setup indicator's status report,,27,=" 00:00:00.006655",="6/27/2014 3:27:00.098356 PM",
,270,Slave,1,..+CIEV: 63..,,Battery charge indicator's status report,,27,=" 00:00:31.351245",="6/27/2014 3:27:31.449601 PM",
,272,Slave,1,..+CIEV: 22..,,Call Setup indicator's status report,,27,=" 00:00:40.296273",="6/27/2014 3:28:11.745874 PM",
,273,Slave,1,..+CIEV: 72..,,Call Held indicator's status report,,27,=" 00:00:00.000679",="6/27/2014 3:28:11.746553 PM",
,277,Slave,1,..+CIEV: 23..,,Call Setup indicator's status report,,27,=" 00:00:03.859394",="6/27/2014 3:28:15.605947 PM",
,279,Slave,1,..+CIEV: 20..,,Call Setup indicator's status report,,27,=" 00:00:00.157440",="6/27/2014 3:28:15.763387 PM",
,280,Slave,1,..+CIEV: 71..,,Call Held indicator's status report,,27,=" 00:00:00.001702",="6/27/2014 3:28:15.765089 PM",
,423,Master,4,AT+BRSF=26.,Retrieve AG Supported Features,,,24,=" 00:01:29.656242",="6/27/2014 3:29:45.421331 PM",
,424,Slave,4,..+BRSF: 615..,,,Retrieved AG Supported Features,28,=" 00:00:00.002827",="6/27/2014 3:29:45.424158 PM",
,425,Slave,4,..OK..,,,Success,19,=" 00:00:00.000878",="6/27/2014 3:29:45.425036 PM",
,433,* Master,* 4,* AT+CIND=?.,* Get supported indicators,,,7,=" 00:00:01.660952",="6/27/2014 3:29:47.085988 PM",
,543,M (HF),5,AT+BRSF=26.,Retrieve AG Supported Features,,,24,=" 00:00:27.359739",="6/27/2014 3:30:14.445727 PM",
,544,S (AG),5,..+BRSF: 615..,,,Retrieved AG Supported Features,28,=" 00:00:00.003813",="6/27/2014 3:30:14.449540 PM",
,545,S (AG),5,..OK..,,,Success,19,=" 00:00:00.001430",="6/27/2014 3:30:14.450970 PM",
,548,M (HF),5,AT+CIND=?.,Get supported indicators,,,24,=" 00:00:00.099843",="6/27/2014 3:30:14.550813 PM",
,549,,,,,,,139,=" 00:00:00.004110",="6/27/2014 3:30:14.554923 PM",
,550,* S (AG),* 5,* ..+CIND: ("call"(01))("callsetup"(0-3))("service"(0-1))("signal"(0-5))("roam"(01))("battchg"(0-5))("callheld"(0-2))..,,,* Indicators supported,20,=" 00:00:00.000428",="6/27/2014 3:30:14.555351 PM",
,551,S (AG),5,..OK..,,,Success,19,=" 00:00:00.000574",="6/27/2014 3:30:14.555925 PM",
